year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,
2021,"742,74","664,37","-321,84","-183,72","-70,87","14,0909589","5143,3",82,"12,58252781",8,16
2022,"670,41","546,07","-259,68","-183,65","-42,57","13,36383562","4880,1",72,"10,79746117",9,13
2023,"727,94","300,57","-421,94","-99,99","-243,15","14,94547945","5455,1",117,"13,95050466",8,20
2024,"742,48","396,37","-289,04","-137,47","-59,72","13,38579235","4899,2",84,"13,49630302",10,16
2025,"1008,91","373,13","89,63","64,71","38,92","13,98041096","5102,85",95,"10,44396383",12,23
2026,"820,25","579,45","-218,17","-171,73","-82,37","13,99424658","5107,9",90,"13,07104657",6,31
2027,742,"787,26","-312,31","-200,97","-83,47","14,03739726","5132,75",91,"14,59701587",17,37
2028,"662,32","566,65","-238,09","-119,68","-76,69","13,6807377","5007,15",88,"13,23188688",11,26
2029,"678,62","622,6","-457,18","-236,94","-115,33","14,28767123",5215,90,"14,70404171",9,7
2030,"801,92","400,43","-254,35","-116,88","-95,06","14,33136986","5230,95",101,"13,04593206",2,13
2031,"663,48","251,86","-249,27","-85,75","-59,01","13,17890411","4820,5",104,"12,38671949",30,8
2032,"895,08","247,46","-14,31","-54,89","-13,05","13,85013661","5069,6",66,"13,54589286",5,11
2033,"604,06","589,92","-320,29","-162,43","-62,64","14,35520548","5239,65",95,"15,28160714",6,45
2034,"576,87","684,81","-391,82","-290,7","-27,13","14,68835616","5361,25",96,"15,03035842",0,51
2035,"705,31","543,27","-213,54","-60,48","-116,25","13,4030137","4904,45",84,"11,56782875",21,28
2036,"658,03","623,39","-276,29","-199,08","-78,92","14,07855191","5154,4",97,"13,23393519",12,26
2037,"583,35","381,27","-354,7","-171,88","-118,77","13,49630137","4927,15",86,"12,27486993",10,11
2038,"592,84","353,31","-360,91","-115,19","-193,06","13,71753425","5006,9",101,"13,53804215",22,14
2039,"838,68","324,56","-57,18","-110,78","-6,26","13,86630137","5061,2",92,"12,91076923",7,24
2040,"705,76","366,81","-205,05","-57,63","-91,18","13,61229508","4982,5",99,"10,25625395",14,11
2041,"679,95","399,46","-245,57","-33,66","-79,47","13,49178082","4933,1",99,"9,966758242",18,27
2042,"590,04","585,75","-307,51","-222,73","-15,53","13,1730137","4808,6",79,"13,81768264",13,32
2043,"503,04","701,67","-468,15","-370,29","-67,82","14,83671233","5415,4",110,"14,429",3,32
2044,"715,44","556,95","-178,85","-160,01","-19,47","13,48674863","4936,15",71,"13,07279256",11,16
2045,"619,93","401,87","-285,46","-142,02","-27,51","13,33342466","4867,95",86,"11,11050455",21,20
2046,"846,11","341,89","-67,44","-19,72","-53,01","13,34356164","4878,25",75,"13,1663882",22,10
