index,name,climate-risk-region,farming-system,sub-system,farm-vulnerability-component,weather-event,weather-event-season-or-period,2nd-weather-event,2nd-weather-event-season-or-period,description-of-the-measure,implementation,ghg-emissions,air-quality,soil,water,biodiversity,animal-welfare,economic,social,technical-feasibility,comments-on-sustainability,alt-language,alt-name,alt-sub-system,alt-weather-event-season-or-period,alt-2nd-weather-event-season-or-period,alt-description-of-the-measure,alt-comments-on-sustainability
8,Reach a reasonable treshold (ha/variety),4,1,"Cereals, legumes, oilseeds, vegetables",12,8,,,,Optimum threshold of ha/variety at farm level for the same crop depending on plots' size and farmers practices,1,2,2,1,1,1,2,2,2,3,"Ensure yields and economic profits avoiding climate stresses or at least diversifying the risks with the use of different varieties/ha at farm level for the same crop. It's demonstrated that climate stresses have different impacts on the different varieties. Though it may be necessary to invest in seeds and difficult to plan costs and sown, share resources in cooperatives or farmers unions could be a solution at social level.",3,Encontrar el equilibrio razonable de variedades (ha/variedad) ,Todos,,,"Encontrar umbral óptimo de variedades/ha a nivel de explotación, en función del tamaño de parcelas y prácticas agrarias.","Asegurar rendimientos y beneficios evitando estreses climáticos o diversificando los riesgos con el uso de diferentes variedades para un mismo cultivo a nivel de explotación. Se ha demostrado que los eventos climáticos tienen diferentes impactos sobre diferentes variedades. Aunque sería necesario la inversión en semillas y difícil planificar los costes, se recomienda compartir recursos en cooperativas o sindicatos, como solución a nivel socioeconómico."
9,"Mix of varieties within plots more sensitive to climate stress (cold, drought…).",4,1,"Cereals, legumes, oilseeds, vegetables",12,8,,,,Sowing a mix of varieties in plots within worst yields ought to extreme weather events ,2,2,2,1,1,1,2,4,3,3,"Farmers find difficultiess to acess to new varieties at research level, economic invests and technical assessment are needed. Legal impediments to share seeds between conventional farmers can make this measure adverse at social and economic level.",3,"Mezcla de variedades para parcelas más sensibles a estrés climático (sequías, heladas…)",Todos,,,Sembrar mezcla de variedades en parcelas con malos rendimeintos por eventos climáticos extremos,"Los agricultores pueden encontrar dificultades para acceder a nuevas variedades a nivel de investigación. Es necesaria una inversión económica para comprar semilla certificada. Es necesaria una asesoría técnica. Impedimentos legales a agricultores convencionales para compartir y vender/comprar semillas puede ser una restriccion en este caso, tanto a nivel económico como social "
10,Varietal bouquet at farm level (all plots) to desynchronize sensitives crops stages,4,1,"Cereals, legumes, oilseeds, vegetables",12,8,,,,A groups of varieties available at farm level to desynchronize sensitive crop stages ,2,2,2,1,1,1,2,4,3,3,"Farmers find difficultiess to acess to new varieties at research level, economic invests and technical assessment are needed. Legal impediments to share seeds between conventional farmers can make this measure adverse at social and economic level.",3,Bouquet de variedades (explotación) para desincronizar estadíos sensibles de los cultivos,Todos,,,Disponer de un manojo de variedades a nivel de explotación que permita desincronizar estadíos sensibles de cultivos ,"Los agricultores pueden encontrar dificultades para acceder a nuevas variedades a nivel de investigación. Es necesaria una inversión económica para comprar semilla certificada. Es necesaria una asesoría técnica. Impedimentos legales a agricultores convencionales para compartir y vender/comprar semillas puede ser una restriccion en este caso, tanto a nivel económico como social "
11,To plant and harvest an own variety collection at farm lever every year,4,1,"Cereals, legumes, oilseeds, vegetables",12,8,,,,"At long term, create a variety collection at farm level, that allows the farmer to face the main extreme weather events",3,2,2,1,1,1,2,4,3,3,"Farmers find difficulties to acess to new varieties at research level, economic invests and technical assessment are needed. Legal impediments to share seeds between conventional farmers can make this measure adverse at social and economic level.",3,"Año a año, cosechar y sembrar un mix de variedades propio a nivel de explotación",Todos,,,"A largo plazo, crear una mezcla de variedades (explotación) que permita afrontar los principales eventos climáticos","Los agricultores pueden encontrar dificultades para acceder a nuevas variedades a nivel de investigación. Es necesaria una inversión económica para comprar semilla certificada. Es necesaria una asesoría técnica. Impedimentos legales a agricultores convencionales para compartir y vender/comprar semillas puede ser una restriccion en este caso, tanto a nivel económico como social "
12,Regular application of organic fertilizers,4,1,All arable crops,13,8,,,,"Organic matter wastes application (animal or vegetal origin: livestock, sewage treatment plants, urban wastes, etc.)",2,1,1,1,1,1,2,5,2,2,"The reduction of mineral nitrogen applications reduces GHG. Soil fertility and structure improve, so water infiltration and maintenance improve too and reduces soil erosion since runoff is minimized. Yields improve and the expenses on mineral fertilizers decrease. There could be difficult to get fertilizers in local markets. Advisable to know the real needs of the soils and avoid the fertilization in rainy periods to avoid runoff.",3,Aplicación regular de abonos orgánicos,Todos,,,"Aplicación de residuos orgánicos de origen animal o vegetal (ganadería, depuradoras o residuos urbanos) ","Menor uso de nitrogeno mineral reduce emisiones de GEIs. Permite mejora de la estructura del suelo, mayor infiltración y mantenimiento de agua, que reduce erosión , minimizándose la escorrentía. Mejora rendimientos y ahorro de gastos en fertilización. Posibles dificultades para conseguir abono orgánico en mercados locales. Se aconseja saber necesidades reales de nutrientes y evitar abonado en periodos muy lluviosos para evitar escorrentías. "
13,Implement soil winter cover crop between main crops,4,1,All arable crops,13,2,Winter,,,"Cover crops to avoid bare soil during winter (depending on rotations, vetch, oat, chicks)",1,1,1,1,1,1,2,5,2,2,"Catch crops minimize erosion, nitrate leaching and evapotranspiration. They promote the production of humus, improve soil water and soil biodiversity",3,Implementar cubiertas con cultivos de invierno entre los principles cultivos ,Todos,Invierno,,"Cultivos intermedios, cubiertas, evita suelo desnudo en invierno (dependiendo de rotaciones, veza, avena, guisantes) ","Cultivos intermedios minimizan la erosión, necesidad de nitratos y evapotranspiración, manteniendo el suelo en buenas condiciones. Merjoan la producción de humus mejorando la retención de agua en los suelos y la biodiversidad. "
14,Cover soil with straw or stubble to avoid bare soils in summer,4,1,All arable crops,13,3,Summer,1,Spring and Summer,Leave the straw or stubble on the soil to avoid bare soil,2,1,2,1,1,1,2,5,1,1,"Favor CO2 retention. Improves soil structure, avoiding bare soil, water retention increases and evapotranspiration decrease. Decrease soil erosion (hydric and windy) protecting soil. The increase of organic matter in the soil favors biodiversity. Productions costs decrease saving time and needs of staff or labor hours.",3,Cubrir el suelo con la paja o el rastrojo para evitar suelo desnudo en verano ,Todos,Verano,"Primavera, verano",Dejar la paja o el rastrojo para evitar el suelo desnudo ,"Favorece la retención de CO2. Mejora la estructura del suelo, evitando suelos desnudos, se incrementa la retención de agua en el suelo y disminuye la evapotranspiración. Disminuye la erosión del suelo (hídrica y por viento) Más materia orgáica favorece la biodiversidad. Los costes de producción disminuyen con el ahorro de tiempo del personal. "
15,Reduced tillage,4,1,All arable crops,13,1,All,3,Spring and Summer,Reduced tillage improves the soil structure then soils are more resilient to expected climate projections,2,1,1,1,1,1,2,2,2,2,"More resilient soils and enhanced capacity for storing water and reducing leaching. Less emissions due to fuel consumption savings, better soil performance. Technically and socioeconomic, the measure is neutral in the midterm, but needs initial investements. ",3,Laboreo reducido ,Todos,Todas,"Primavera, verano","Laboreo reducido mejora la estructura del suelo, más resiliente a los cambio esperados. ","Permite suelos más resilientes y mejora la capacidad de almacenar agua en suelo, reduciéndose lixiviados. Menos emisiones al consumir menos combustible. Mejora la estructura del suelo A medio plazo esta medida es neutra en términos socioeconómicos, pero precisa de inversiones iniciales. "
16,Terraces conservation,4,1,All arable crops,13,1,"Spring, autumn",2,All seasons,Keep or promote terraces in farms with a high slope,2,1,2,1,1,1,2,4,3,3,"Terraces allows  water infiltration (decreasing the slope) and improves soil structure. Then soil ersoion and runoff decreases. Soil biodiversity improves thanks to a better soil. The main inconvenient is the high cost and the difficults in mecanization, so there may be an incentive to promote this measure. ",3,Conservación de terrazas cultivadas,Todos,"Primavera, otoño","Primavera, verano",Conservar o promover el cultivo en terrazas en explotaciones con elevada pendiente ,"Las terrazas mejoran la infiltración del agua (disminuye la pendiente) y mejoran la estructura de los suelos. Por tanto disminuye la erosión del suelo y pérdidas por escorrentías. Mejora la biodiversidad de los suelos. Suponen altos costes de mantenimiento, debido a las dificultades de mecanización, se precisan incentivos para su mantenimiento. "
17,Mutlifuntional margins,4,1,All arable crops,13,8,,,,Borders with natural regeneration or grass7wildflower sown (native sps) minimum lenght: 3 m.  ,2,1,1,1,1,1,2,4,3,2,"It Increases CO2 retention. Create a microclimate that reduces: hot/cold winds, soil runoff during rainy periods, frozen effects, etc. Allow a better soil structure & water retention. Increase the biodiversity including useful fauna and pollinators (Maintenance may be done without herbicides). Investments are needed at short term and incentives to cover the economic losses of UAA. Technical assessment needed to use native species.",3,Márgenes multifuncionales,Todos,,,Franjas en las lindes con vegetación natural regenerada o siembra de hierbas o flores (autóctonas) anchura mínima de 3 m,"Aumenta retención de CO2. Crea un microclima: reduce intensidad de vientos fríos/calientes, la escorrentía durante lluvias intensas, así como efectos de heladas. Mejora  estructura de suelos y retención de agua. Aumenta la biodiversidad, incluyendo fauna útil y polinizadores. (Mantenimiento sin herbicidas) Inversiones a corto plazo, necesarios incentivos que cubran pérdidas de SAU. Asesoría técnica necesaria para el uso de especies autóctonas."
18,Hedges plantations,4,1,All arable crops,13,8,,,,Hedges or trees planted in plots borders using native species.,2,1,1,1,1,1,2,4,3,2,"It increases CO2 retention. Hedgerows and trees in borders create a microclimate that reduces: hot/cold winds, soil runoff during rainy periods, frozen effects, etc. It allows a better soil structure & water retention. It increases the biodiversity including useful fauna to fight against plagues and pests. Investments are needed at short term and incentives in order to cover the economic losses of UAA. Technical assessment needed to use native species.",3,Plantación de setos y/o árboles en lindes,Todos,,,"Plantar setos arbustivos o arbóreos en las lindes de las parcelas, con especies autóctonas. "," Aumenta retención de CO2. Crea un microclima:reduce intensidad de vientos frios/calientes, la escorrentía durante lluvias intensas, así como efectos de heladas. Mejora  estructura de suelos y retención de agua. Aumenta la biodiversidad, incluyendo fauna útil y polinizadores. Se precisan inversiones a corto plazo, mejor con incentivos, para cubrir pérdidas de SAU y económicas. Asesoría técnica necesaria para el uso de autóctonas. "
19,Fertilzers applied fractioned,4,1,All arable crops,13,8,,,,"Applied fertilizers in three times at least, depending on the crop needs and yields expected",1,1,1,1,1,2,2,5,3,2,"Fertilization adjustments trough the fractioned application (at least three times) allow to save fertilizers, decrease the losses by evapotranspiration and runoff, then the GHG emissions may decrease. Economically it may suppose savings, although there is a need of more time for these labors. The fertilizers application may be designed based on the expected weather, avoiding rainy periods",3,Aplicación fraccionada del abonado,Todos,,,"Aplicación de abonado al menos en 3 veces, en función de las necesidades del cultivo y rendimientos esperados ","Ajustes en la fertilización con una aplicación fraccionada(al menos en 3 veces) suponen un ahorro de fertilizantes, menos pérdidas por evapotranspiración y escorrentía, y por tanto una disminución de GEI's. Supone ahorros económicos aunque se precisa más horas de trabajo. Se debe diseñar la aplicación fraccionada en base al tiempo meteorológico esperado, evitando periodos de lluvias intensas. "
20,Maps and analysis of soils,4,1,All arable crops,13,8,,,,Maps of soils with information on structure and soil nutrients to allow a fertilization adjusted to the soil needs.,1,1,1,1,1,2,2,5,3,3,"Apply a plan of fertilization based on soils maps at plot level is very interesting in order to adjust the quantities and needs of fertilizars to the real needs of the crops. It may allow savings on fertilizers that may mean less GHG emissions, economic savingsand bertter soil confditions, eevn avoiding runoff losses. Technical assessment and farmers training are necessary.",3,Mapas y análisis de suelos,Todos,,,"Mapas y análisis con información sobre estructura y nutrientes, para abono ajustado a las necesidades del suelo.","Aplicar un plan de fertilización basado en mapas de suelos a nivel de parcela permite ajustar las cantidades y necesidades de abonado. Supone un ahorro de fertilizantes , lo que supone menos emisiones de GEI, ahorros económicos y mejoras en las condiciones del suelo, incluida una disminución de escorrentías. Es necesaria asesoría técnica y formación de agricultores"
21,Organic agriculture,4,1,All arable crops,13,8,,,,The yields in organic farming are more stable and the agronomic practices are more adapted to face climate change,2,1,1,1,1,1,2,4,3,2,"Organic farming is based on traditional varieties more adapted to climate change. Organic fertilizers allow better soils & better structure, so water retention increases and soil erosion decreases reducing vulnerability to droughts and intense rainfall. It increases considerably biodiversity. No use of chemicals fertilizers and pesticides means economic savings. Technical assessment and administration support is needed",3,Agricultura ecológica,Todos,,,"Los rendimientos en agricultura ecológica son más estables, y sus prácticas están más adaptada para afrontar el cambio climático. ","Uso de variedades tadicionales y locales más adaptadas. Menores emisiones de GEI. Abonos orgánicos favorecen suelos con mejor estructura y mayore retención de agua, evitando la erosión. Se reduce la vulnerabilidad a sequías y lluvias intensas. Aumento considerable de la biodiversidad. Ahorros económicos (no uso de productos químicos). Se precisa asesoría técnica y apoyos/incentivos institucionales. "
22,Integrated pest management,4,1,All arable crops,13,8,,,,To apply Integrated Pest Management (IPM) practices,1,1,2,1,2,1,2,5,1,3,"Can reduce (or make more effective) the treatments and other tasks on farm, and then redece GHG. It can avoid unnecessary treatments or at least a more efficient use of agrochemicals that favour biodiversity. Can reduce costs of treatments and farming inputs. Can entail less workload (or more efficiency). Technical assessment necessary",3,Gestión integrada de plagas,Todos,,,Promover la gestión integrada de plagas,"Puede reducir (o hacer más efectivo) los tratamientos y otras tareas en la explotación, y por tanto reducir la cantidad de GEI. Un uso menor y/o más eficiente de agrocquímicos favorece a la biodiversidad. Reduce los costes de tratamientos e inputs en la explotación. Puede suponer menor necesidad de trabajos. Es necesaria asesoría técnica"
23,Fallow lands sown,4,1,All arable crops,13,2,All seasons,,,"To avoid bare soil sowing fallow lands in autumn, especially in high slope soils",2,1,2,1,2,1,2,2,2,2,"Sown fallowlands avoid erosion in bare soils by intense rainfall and floods. Then it's a positive measure for soils, biodiversity and GHG emissions, since it allows to keep organic carbon into the soils. ",3,Barbechos semillados,Todos,Todas,,"Evitar el suelo desnudo semillando barbechos en otoño, epecialmente en suelos con elevada pendiente. ","Los barbechos semillados reducen la erosión de suelos, al reducir los riesgos de escorrentías por lluvias intensas. Mejoran la biodiversidad y promueven la fijación de carbono orgánico en el suelo, reduciendo las emisiones de GEI."
24,Water ponds to collect rain water,4,1,All arable crops,13,1,Spring and summer,,,To build temporary or permanent ponds to collect rain water with low slopes and shores with native vegetation,1,2,2,1,1,1,2,4,1,2,"Water ponds enable a more orderly use of the remaining resources and do not involve considerable loss of any agrarian use. Allow the water recharge of aquifers, and flood control. Soil improvement (moist and organic matter content increase). Important habitat and refuge for amphibians and reptiles, and a water resource for mammals. Economic investments needed",3,Charcas de agua de almacenamiento de agua de lluvia,Culitivos de regadío,,,Construir charcas temporales o permanentes con  pendientes suaves y orillas revegetadas con sps autóctonas. ,"Las charcas de agua suponen un uso sostenible del agua de lluvia y no suponen pérdidas considerables de so agrario. Además suponen una recarga de los acuíferos y control de avenidas e inundaciones, por tanto evitan erosión de suelos. Mejoras en suelos (humedad y contenido de materia orgánica se incrementan). Hábitat y refugio de importancia para anfibios y reptiles, asñi como un recurso de agua para mamíferos. Necesaria inversión económica"
25,"Better efficiency in irrigation, decision-support tools",4,1,Vegetables,14,1,,,,"Available technology (water meters, tensiometric probes, …) to adjust irrigation needs to the crop.",1,2,2,1,1,1,2,4,2,1,"More efficient irrigation can enatil less nutrient leaching to water bodies and also a higher efficiency in plant uptake and nutrient management. Better irigation entails better soil conditions in general terms. Indirect positive effect on biodiversity, due to less water extraction from water bodies and less nutrient leaching from farms. ",3,Herramientas para la toma de decisiones en el riego,Culitivos de regadío,,,Sensores de riego u otros dispositivos adecuar la frecuencia y volúmenes de riego a las necesidades del cultivo. ,"Una mayor eficiencia en el riego puede suponer menos lixiviados de nutrientes en los cuerpos de agua, y además una mayor eficiencia en la gestión de estos nutrientes. Además supone mejoras en la estructura del suelo, así como efectos positivos sobre la bioiversidad de modo indirecto, dado que una menor extracción de agua mejoraría el estado de los exosistemas acuáticos."
26,Drip irrigation systems,4,1,Vegetables,14,1,Spring and summer,,,Tubes buried a few cm (semi-buried; annually changed; standard )or up to 20 cm (buried; lasts 2-3 years;thicker),2,2,2,1,1,1,2,4,2,1,"Water saving, avoids evapotranspiration. Very efficient if combined with tensiometric probes. Less irrigation needed. Optimized use of fertilizers. As the soil surface is not wet, no weeds grow and herbicides treatments are completely eliminated. May need investment, especially for buried tubing (not for semi-buried which uses the same thecnology)",3,Riego enterrado,Cultivos de regadío,Primavera y verano,,El riego se encuentra enterrado al menos a 20 cm de profundidad. ,"Supone ahorros de agua, evita la evapotranspiración. Mayor eficiencia cominado con pruebas tensiométricas. Se optimiza el uso de fertilizantes. Al evitar la humedad del suelo las hierbas adveniticias no proliferan, disminuyendo e incluso desapareciendo el uso de tratamientos de herbicidas. Son necesarias inversionese económicas, espcialmente para tubos enterrados (no tanto para tubos semi-enterrados que usan la misma tecnología)"
27,Better knowledge of crops' water needs,4,1,Vegetables,14,1,Spring and summer,,,Detailed knowledge about water needs for different crops under different conditions ,1,2,2,1,1,2,2,2,2,1,Adjusting irrigation in irrigated crops to crops needs may suppose a water saving. Technical asessment may be needed,3,Mejor conocimiento de las necesidades específicas de agua para cada cultivo,Todos,Todas,,Conocimeinto detallado sobre las necesidades de agua de los diferentes cultivos bajo diferentes condiciones ,"Ajustar el riego en cultivos de regadío a las necesidades reales del cultivo, podría suponer importantes ahorros de agua. Es necesaria asistencia técnica "
28,Farm insurance,4,1,All arable crops,11,8,,,,Farmers can contract an inssurance to prevent high yield losses in case of extreme events,1,2,2,2,2,2,2,2,2,1,The expected increse of extreme weather events will considerably affect yields. The insurance contract can ensure the farmer's incomes ,3,Seguro agrario,Todos,Todas,,Agricultores contratan seguros agrarios para prevenir pérdidas de rendimientos en caso de eventos climáticos extremos ,El incremento esperado de eventos climáticos extremos afectará considerablemente a los rendimientos . La contratación de seguros agraio podría asegurar la renta de los agricultores. 
29,Cover crops,4,3,Vineyards,33,2,Winter,1,Spring,"Use of cover crops for increasing organic matter:  spontaneous or sown, in winter (in rainfed vineyards) or permanent",1,1,2,1,2,1,2,5,2,1,"The composition, technique and management in each farm is very heterogeneous due to soil and local conditions, especially in rainfed Mediterranean conditions. Testing and demonstration is needed at a local scale for promoting its use. It increases organic matter and nutrients availability. It fixes carbon at soil. It improves the soil structure and avoids erosion. Benefits for biodiversity, since it provides food and shelter for useful fauna.",3,Cubiertas vegetales,Viñedos,Invierno,Primavera,"Cubiertas vegetales para incrementar la materia orgánica: silvestres o sembradas, invernales (en secano) o permanentes","Uso de cultivos de cobertura para aumentar la materia orgánica: espontánea o sembrada, en invierno (en viñedos de secano) o permanente. Aumenta la cantidad de materia orgánica y disponibilidad de nutrientes, fijándose carbono. Mejora la estructura del suelo y se evita la erosión. Además, supone un beneficio para la biodiversidad, al proveer alimento y refugio para fauna útil. "
30,Application of compost ,4,3,Vineyards,33,2,Autumn and winter,1,Spring and Summer,"Use of compost from different local resources (winery leftovers, manure, waste) to increase organic matter content",1,1,2,1,1,1,2,5,2,1,"The use of compost coming from agricultural residues and agrifood waste helps local stakeholders to close nutrients cycles and to enhance soil conditions (organic matter increasement, nutrients cycle and structure improvement, better water retentino, erosion decreasement, and biodiversity improvement). It may suppose economic savings against other fertilization methods. ",3,Aplicación de compost,Viñedos,,,"Uso de compost hecho con  recursos locales (restos vinificación, estiércol..) para aumentar materia orgánica
","El uso de compost proveniente de residuos agrícolas y residuos agroalimentarios y contribuye a cerrar los ciclos de nutrientes y mejorar las condiciones del suelo (aumento de materia orgánica, mejora en el ciclo de nutrientes, mejora de estructura, mayor almacenamiento de agua, reducción de la erosión, mejora la biodiversidad en el suelo). Puede suponer un ahorro económico frente a otros modos de fertilización."
31,Application of manures,4,3,Vineyards,33,2,Autumn and winter,1,Spring and Summer,Use of manure from different local animals for impoving organic matter content,1,1,2,1,1,1,2,5,2,1,"The use of manures has an undeniable benefit on soil biology (Organic matter and nutrients increase, water retention improves, erosion decreases and soil biodiversity increases) The main constraint is that livestock farming is more and more decoupled from agricultural production",3,Aplicación de estiércol,Viñedos,,,Uso de estiércoles locales de varios animalespara incrementar los niveles de materia orgánica,"El uso de estiércol tiene un beneficio innegable en la biología del suelo (aumento de materia orgánica, mejora en el ciclo de nutrientes, mejora de estructura, mayor almacenamiento de agua, reducción de la erosión, mejora la biodiversidad en el suelo). El principal inconveniente es que la ganadería está cada vez más desconectada de la producción agrícola."
32,Techniques for reducing erosion,4,3,Vineyards,33,2,Autumn and winter,,,"Living structures, key line design, terracing… it includes any technique for avoiding the loss of organic matter ",1,1,2,1,1,1,2,5,2,1,"The first layer of agricultural soils are rich in organic matter, nutrients and living organisms. Erosion means losing all this. Different techniques, from simple to complex can be implemented",3,Técnicas diversas para reducir erosión,Viñedos,,,"Estructurasvivas, diseño línea clave, terrazas… cualquier técnica que minimize la erosión ","La capa superficial de los suelos agrícolas es rica en materia orgánica, nutrientes y organismos vivos. La erosión significa perder todo esto. Se pueden implementar diferentes técnicas, desde simples a complejas."
33,Pruning  during growth period,4,3,Vineyards,32,1,Summer,3,Summer,Pruning during vine growth for balancing evapotranspiration surface ,1,2,2,2,1,2,2,2,2,1,"Pruning in green entails manpower and an additional cost, usually paid off by better quality. Many vine growers consider this work as a key aspect for balancing production with the year meteorological conditions. It entails less hydric consumption, or a better water profit in rainfed vineyards.",3,Poda en verde,Viñedos,Verano,Verano,Poda en verde para equilibrar la superficie evaporativa con condiciones del año ,"La poda en verde implica mano de obra y un costo adicional, generalmente pagado por una mejor calidad. Muchos viticultores consideran este trabajo como un aspecto clave para equilibrar la producción con las condiciones meteorológicas del año. Supone un menor consumo hídrico o mejor aprovechamiento del agua disponible en secano."
